Item Number,Quantity,Value,Description,Part Number,Part Reference,Manufacturer Name,Manufacturer Part Number,ID,SKU,ALT_MPN,ALT_MFR
1,1,04025U0R7BAT2A,Multilayer Ceramic Capacitors MLCC - SMD/SMT 50V .7pf C0G 0402 .1pF Tol,04025U0R7BAT2A,C0(0.7PF),Kyocera AVX,04025U0R7BAT2A,433,,,
2,1,C3216X7R2A474K160AA,"TDK C3216 C 470nF Ceramic Multilayer Capacitor, 100 V dc, +125C, X7R Dielectric, +/-10% SMD",(0.47uF)C3216X7R2A474K160AA,C1(0.47UF)1,TDK,C3216X7R2A474K160AA,526,,,
3,1,C3216X7R2A474K160AA,"TDK C3216 C 470nF Ceramic Multilayer Capacitor, 100 V dc, +125C, X7R Dielectric, +/-10% SMD",(0.47uF)C3216X7R2A474K160AA,C1(0.47UF),TDK,C3216X7R2A474K160AA,523,,,
4,1,C0603G104K5RACT250,"SMD Indust X7R HT175C, Ceramic, 0.1 uF, 10%, 50 VDC, 125 VDC, 175C, -55C, X7R, SMD, MLCC, High Temperature, Class II, 2.5 % , 5 GOhms, 4.8 mg, 0603, 1.6mm, 0.8mm, 0.8mm, 0.7mm, 0.35mm, 250, 78  Weeks, 80",C0603G104K5RACT250,C9(0.1UF),KEMET,C0603G104K5RACT250,436,,,
5,1,C0603G104K5RACT250,"SMD Indust X7R HT175C, Ceramic, 0.1 uF, 10%, 50 VDC, 125 VDC, 175C, -55C, X7R, SMD, MLCC, High Temperature, Class II, 2.5 % , 5 GOhms, 4.8 mg, 0603, 1.6mm, 0.8mm, 0.8mm, 0.7mm, 0.35mm, 250, 78  Weeks, 80",C0603G104K5RACT250,C10(0.1UF),KEMET,C0603G104K5RACT250,448,,,
6,1,C0603G104K5RACT250,"SMD Indust X7R HT175C, Ceramic, 0.1 uF, 10%, 50 VDC, 125 VDC, 175C, -55C, X7R, SMD, MLCC, High Temperature, Class II, 2.5 % , 5 GOhms, 4.8 mg, 0603, 1.6mm, 0.8mm, 0.8mm, 0.7mm, 0.35mm, 250, 78  Weeks, 80",C0603G104K5RACT250,C14(0.1UF),KEMET,C0603G104K5RACT250,261,,,
7,1,C0603G104K5RACT250,"SMD Indust X7R HT175C, Ceramic, 0.1 uF, 10%, 50 VDC, 125 VDC, 175C, -55C, X7R, SMD, MLCC, High Temperature, Class II, 2.5 % , 5 GOhms, 4.8 mg, 0603, 1.6mm, 0.8mm, 0.8mm, 0.7mm, 0.35mm, 250, 78  Weeks, 80",C0603G104K5RACT250,C15(0.1UF),KEMET,C0603G104K5RACT250,331,,,
8,1,C0603G104K5RACT250,"SMD Indust X7R HT175C, Ceramic, 0.1 uF, 10%, 50 VDC, 125 VDC, 175C, -55C, X7R, SMD, MLCC, High Temperature, Class II, 2.5 % , 5 GOhms, 4.8 mg, 0603, 1.6mm, 0.8mm, 0.8mm, 0.7mm, 0.35mm, 250, 78  Weeks, 80",C0603G104K5RACT250,C16(0.1UF),KEMET,C0603G104K5RACT250,264,,,
9,1,C3216X5R2J102M115AA,"MULTILAYER CERAMIC CHIP CAPACITORS, 3216, Commercial grade, general (Up to 75V)",C3216X5R2J102M115AA,C17(1NF),TDK,C3216X5R2J102M115AA,242,,,
10,1,C0603G104K5RACT250,"SMD Indust X7R HT175C, Ceramic, 0.1 uF, 10%, 50 VDC, 125 VDC, 175C, -55C, X7R, SMD, MLCC, High Temperature, Class II, 2.5 % , 5 GOhms, 4.8 mg, 0603, 1.6mm, 0.8mm, 0.8mm, 0.7mm, 0.35mm, 250, 78  Weeks, 80",C0603G104K5RACT250,C23(0.1UF),KEMET,C0603G104K5RACT250,430,,,
11,1,C3216X5R2J102M115AA,"MULTILAYER CERAMIC CHIP CAPACITORS, 3216, Commercial grade, general (Up to 75V)",C3216X5R2J102M115AA,C24(1NF),TDK,C3216X5R2J102M115AA,451,,,
12,1,TAJA685K020R,"AVX 6.8uF SMD Solid MnO2 Tantalum Electrolytic Capacitor, 20 V dc +/-10%, TAJ Series",TAJA685K020R,C26(6.8UF),Kyocera AVX,TAJA685K020R,390,,,
