Item Number,Quantity,Value,Description,Part Number,Part Reference,Manufacturer Name,Manufacturer Part Number,ID,SKU,ALT_MPN,ALT_MFR
11,1,C0603G104K5RACT250,"SMD Indust X7R HT175C, Ceramic, 0.1 uF, 10%, 50 VDC, 125 VDC, 175C, -55C, X7R, SMD, MLCC, High Temperature, Class II, 2.5 % , 5 GOhms, 4.8 mg, 0603, 1.6mm, 0.8mm, 0.8mm, 0.7mm, 0.35mm, 250, 78  Weeks, 80",C0603G104K5RACT250,C16(0.1UF),KEMET,C0603G104K5RACT250,2072,,,
12,1,C3216X5R2J102M115AA,"MULTILAYER CERAMIC CHIP CAPACITORS, 3216, Commercial grade, general (Up to 75V)",C3216X5R2J102M115AA,C17(1NF),TDK,C3216X5R2J102M115AA,2069,,,
13,1,C3216X5R2J102M115AA,"MULTILAYER CERAMIC CHIP CAPACITORS, 3216, Commercial grade, general (Up to 75V)",C3216X5R2J102M115AA,C17(1NF)1,TDK,C3216X5R2J102M115AA,2087,,,
14,1,C0603G104K5RACT250,"SMD Indust X7R HT175C, Ceramic, 0.1 uF, 10%, 50 VDC, 125 VDC, 175C, -55C, X7R, SMD, MLCC, High Temperature, Class II, 2.5 % , 5 GOhms, 4.8 mg, 0603, 1.6mm, 0.8mm, 0.8mm, 0.7mm, 0.35mm, 250, 78  Weeks, 80",C0603G104K5RACT250,C18(0.1UF),KEMET,C0603G104K5RACT250,2106,,,
15,1,C3216X5R2J102M115AA,"MULTILAYER CERAMIC CHIP CAPACITORS, 3216, Commercial grade, general (Up to 75V)",C3216X5R2J102M115AA,C19(1NF),TDK,C3216X5R2J102M115AA,2128,,,
16,1,C0603G104K5RACT250,"SMD Indust X7R HT175C, Ceramic, 0.1 uF, 10%, 50 VDC, 125 VDC, 175C, -55C, X7R, SMD, MLCC, High Temperature, Class II, 2.5 % , 5 GOhms, 4.8 mg, 0603, 1.6mm, 0.8mm, 0.8mm, 0.7mm, 0.35mm, 250, 78  Weeks, 80",C0603G104K5RACT250,C20(0.1UF),KEMET,C0603G104K5RACT250,2100,,,
17,1,TAJA685K020R,"AVX 6.8uF SMD Solid MnO2 Tantalum Electrolytic Capacitor, 20 V dc +/-10%, TAJ Series",TAJA685K020R,C22(6.8UF)1,Kyocera AVX,TAJA685K020R,2154,,,
18,1,TAJA685K020R,"AVX 6.8uF SMD Solid MnO2 Tantalum Electrolytic Capacitor, 20 V dc +/-10%, TAJ Series",TAJA685K020R,C22(6.8UF),Kyocera AVX,TAJA685K020R,2125,,,
19,1,C0603G104K5RACT250,"SMD Indust X7R HT175C, Ceramic, 0.1 uF, 10%, 50 VDC, 125 VDC, 175C, -55C, X7R, SMD, MLCC, High Temperature, Class II, 2.5 % , 5 GOhms, 4.8 mg, 0603, 1.6mm, 0.8mm, 0.8mm, 0.7mm, 0.35mm, 250, 78  Weeks, 80",C0603G104K5RACT250,C23(0.1UF),KEMET,C0603G104K5RACT250,2037,,,
20,1,C3216X5R2J102M115AA,"MULTILAYER CERAMIC CHIP CAPACITORS, 3216, Commercial grade, general (Up to 75V)",C3216X5R2J102M115AA,C24(1NF),TDK,C3216X5R2J102M115AA,2009,,,
21,1,TAJA685K020R,"AVX 6.8uF SMD Solid MnO2 Tantalum Electrolytic Capacitor, 20 V dc +/-10%, TAJ Series",TAJA685K020R,C26(6.8UF)1,Kyocera AVX,TAJA685K020R,2134,,,
22,1,TAJA685K020R,"AVX 6.8uF SMD Solid MnO2 Tantalum Electrolytic Capacitor, 20 V dc +/-10%, TAJ Series",TAJA685K020R,C26(6.8UF),Kyocera AVX,TAJA685K020R,1918,,,
23,1,C0603G104K5RACT250,"SMD Indust X7R HT175C, Ceramic, 0.1 uF, 10%, 50 VDC, 125 VDC, 175C, -55C, X7R, SMD, MLCC, High Temperature, Class II, 2.5 % , 5 GOhms, 4.8 mg, 0603, 1.6mm, 0.8mm, 0.8mm, 0.7mm, 0.35mm, 250, 78  Weeks, 80",C0603G104K5RACT250,C30(0.1UF),KEMET,C0603G104K5RACT250,2240,,,
24,1,C0603G104K5RACT250,"SMD Indust X7R HT175C, Ceramic, 0.1 uF, 10%, 50 VDC, 125 VDC, 175C, -55C, X7R, SMD, MLCC, High Temperature, Class II, 2.5 % , 5 GOhms, 4.8 mg, 0603, 1.6mm, 0.8mm, 0.8mm, 0.7mm, 0.35mm, 250, 78  Weeks, 80",C0603G104K5RACT250,C30(0.1UF)2,KEMET,C0603G104K5RACT250,2225,,,
25,1,C0603G104K5RACT250,"SMD Indust X7R HT175C, Ceramic, 0.1 uF, 10%, 50 VDC, 125 VDC, 175C, -55C, X7R, SMD, MLCC, High Temperature, Class II, 2.5 % , 5 GOhms, 4.8 mg, 0603, 1.6mm, 0.8mm, 0.8mm, 0.7mm, 0.35mm, 250, 78  Weeks, 80",C0603G104K5RACT250,C30(0.1UF)1,KEMET,C0603G104K5RACT250,2222,,,
26,1,C3216X5R2J102M115AA,"MULTILAYER CERAMIC CHIP CAPACITORS, 3216, Commercial grade, general (Up to 75V)",C3216X5R2J102M115AA,C31(1NF)5,TDK,C3216X5R2J102M115AA,2219,,,
27,1,C3216X5R2J102M115AA,"MULTILAYER CERAMIC CHIP CAPACITORS, 3216, Commercial grade, general (Up to 75V)",C3216X5R2J102M115AA,C31(1NF)1,TDK,C3216X5R2J102M115AA,2237,,,
28,1,C3216X5R2J102M115AA,"MULTILAYER CERAMIC CHIP CAPACITORS, 3216, Commercial grade, general (Up to 75V)",C3216X5R2J102M115AA,C31(1NF)4,TDK,C3216X5R2J102M115AA,2081,,,
29,1,C3216X5R2J102M115AA,"MULTILAYER CERAMIC CHIP CAPACITORS, 3216, Commercial grade, general (Up to 75V)",C3216X5R2J102M115AA,C31(1NF)3,TDK,C3216X5R2J102M115AA,2228,,,
30,1,C3216X5R2J102M115AA,"MULTILAYER CERAMIC CHIP CAPACITORS, 3216, Commercial grade, general (Up to 75V)",C3216X5R2J102M115AA,C31(1NF),TDK,C3216X5R2J102M115AA,2216,,,
31,1,C3216X5R2J102M115AA,"MULTILAYER CERAMIC CHIP CAPACITORS, 3216, Commercial grade, general (Up to 75V)",C3216X5R2J102M115AA,C31(1NF)2,TDK,C3216X5R2J102M115AA,2260,,,
32,1,C0603G104K5RACT250,"SMD Indust X7R HT175C, Ceramic, 0.1 uF, 10%, 50 VDC, 125 VDC, 175C, -55C, X7R, SMD, MLCC, High Temperature, Class II, 2.5 % , 5 GOhms, 4.8 mg, 0603, 1.6mm, 0.8mm, 0.8mm, 0.7mm, 0.35mm, 250, 78  Weeks, 80",C0603G104K5RACT250,C37(0.1UF),KEMET,C0603G104K5RACT250,2234,,,
33,1,C3216X5R2J102M115AA,"MULTILAYER CERAMIC CHIP CAPACITORS, 3216, Commercial grade, general (Up to 75V)",C3216X5R2J102M115AA,C38(1NF),TDK,C3216X5R2J102M115AA,2253,,,
34,1,TAJA685K020R,"AVX 6.8uF SMD Solid MnO2 Tantalum Electrolytic Capacitor, 20 V dc +/-10%, TAJ Series",TAJA685K020R,C40(6.8UF),Kyocera AVX,TAJA685K020R,2186,,,
35,1,0.1uF,,,C49,,,153,,,
36,1,0.1uF,,,C50,,,140,,,
37,1,10nF,,,C52,,,185,,,
38,1,6.8uF,,,C53,,,143,,,
39,1,100nF,,,C128,,,506,,,
40,1,100nF,,,C132,,,414,,,
41,1,0.1uF,,,C134,,,452,,,
42,1,0.1uF,,,C136,,,455,,,
43,1,1nF,,,C137,,,532,,,
44,1,1nF,,,C218,,,681,,,
45,1,0.1uF,,,C219,,,721,,,
46,1,1nF,,,C220,,,702,,,
47,1,0.1uF,,,C221,,,708,,,
48,1,10nF,,,C222,,,718,,,
49,1,6.8uF,,,C223,,,742,,,
50,1,0.1uF,,,C224,,,730,,,
51,1,10uF,,,C225,,,806,,,
52,1,22uF,,,C226,,,809,,,
53,1,10uF,,,C227,,,812,,,
54,1,0.1uF,,,C230,,,887,,,
55,1,1nF,,,C231,,,890,,,
56,1,0.1uF,,,C232,,,893,,,
57,1,1nF,,,C233,,,896,,,
58,1,6.8uF,,,C236,,,918,,,
59,1,1nF,,,C237,,,945,,,
60,1,0.1uF,,,C238,,,948,,,
61,1,0.1uF,,,C239,,,956,,,
62,1,6.8uF,,,C240,,,959,,,
63,1,0.1uF,,,C241,,,965,,,
64,1,6.8uF,,,C242,,,962,,,
65,1,0.1uF,,,C243,,,973,,,
66,1,4.7u,,,C244,,,1003,,,
67,1,47uF,,,C245,,,1011,,,
68,1,UMK212BBJ475KG-T,Capacitor MLCC 0805 X5R 50V 4.7uF Taiyo Yuden 4.7uF Multilayer Ceramic Capacitor (MLCC) 50 V dc +/-10% X5R dielectric M Solder max op. temp. +85C,(4.7uF)UMK212BBJ475KG-T,C246(4.7UF),TAIYO YUDEN,UMK212BBJ475KG-T,1943,,,
69,1,CL32Y476KPVVPNE,Multilayer Ceramic Capacitors MLCC - SMD/SMT 47uF X7S 10V 1210 Auto grade,(47uF)CL32Y476KPVVPNE,C246(47UF),SAMSUNG,CL32Y476KPVVPNE,1921,,,
70,1,T491A106K016AT,"T491, Tantalum, MnO2 Tantalum, Commercial Grade, 10 uF, 10%, 16 VDC, 125C, -55C, 85C, SMD, MnO2, Molded, 6 % , 3 Ohms, 1600 nA, 58.6 mg, 3216, 1.6mm, Height Max = 1.8mm, 2000, 156  Weeks",T491A106K016AT,C246(10UF),KEMET,T491A106K016AT,1927,,,
71,1,T491A106K016AT,"T491, Tantalum, MnO2 Tantalum, Commercial Grade, 10 uF, 10%, 16 VDC, 125C, -55C, 85C, SMD, MnO2, Molded, 6 % , 3 Ohms, 1600 nA, 58.6 mg, 3216, 1.6mm, Height Max = 1.8mm, 2000, 156  Weeks",T491A106K016AT,C246(10UF)1,KEMET,T491A106K016AT,1890,,,
72,1,TPSB226K016R0600,AVX 22,TPSB226K016R0600,C247(22UF),Kyocera AVX,TPSB226K016R0600,1910,,,
73,1,0.1uF,,,C248,,,1060,,,
74,1,6.8uF,,,C249,,,1064,,,
75,1,0.1uF,,,C252,,,1532,,,
76,1,6.8u,,,C257,,,1562,,,
77,1,1nF,,,C258,,,1547,,,
78,1,1.2p,,,C265,,,1470,,,
79,1,0.5pF,,,C266,,,1529,,,
80,1,6.8uF,,,C267,,,1455,,,
81,1,1nF,,,C268,,,1583,,,
82,1,1n,,,C269,,,1449,,,
83,1,1n,,,C270,,,1565,,,
84,1,0.1uF,,,C271,,,1592,,,
85,1,0.1u,,,C272,,,1452,,,
86,1,1n,,,C273,,,1517,,,
87,1,1n,,,C274,,,1556,,,
88,1,0.1uF,,,C275,,,1598,,,
89,1,0.1uF,,,C276,,,1476,,,
90,1,1nF,,,C277,,,1535,,,
91,1,6.8uF,,,C278,,,1595,,,
92,1,1n,,,C279,,,1523,,,
93,1,C3216X5R2J102M115AA,"MULTILAYER CERAMIC CHIP CAPACITORS, 3216, Commercial grade, general (Up to 75V)",(1nF)C3216X5R2J102M115AA,C279(1NF),TDK,C3216X5R2J102M115AA,2189,,,
94,1,1n,,,C280,,,1479,,,
95,1,C3216X5R2J102M115AA,"MULTILAYER CERAMIC CHIP CAPACITORS, 3216, Commercial grade, general (Up to 75V)",(1nF)C3216X5R2J102M115AA,C280(1NF),TDK,C3216X5R2J102M115AA,2198,,,
96,1,0.1uF,,,C281,,,1461,,,
97,1,1n,,,C282,,,1574,,,
98,1,0.1uF,,,C283,,,1559,,,
99,1,1n,,,C284,,,1464,,,
100,1,6.8u,,,C285,,,1657,,,
101,1,1nF,,,C286,,,1651,,,
102,1,1n,,,C287,,,1666,,,
103,1,0.1uF,,,C288,,,1627,,,
104,1,1n,,,C289,,,1639,,,
105,1,0.1uF,,,C290,,,1624,,,
106,1,1n,,,C291,,,1654,,,
107,1,0.5pF,,,C292,,,1823,,,
108,1,1.2p,,,C293,,,1702,,,
109,1,6.8uF,,,C294,,,1841,,,
110,1,1nF,,,C295,,,1729,,,
111,1,1n,,,C296,,,1747,,,
112,1,0.1uF,,,C297,,,1820,,,
113,1,0.1u,,,C298,,,1756,,,
114,1,1n,,,C299,,,1863,,,
115,1,0.1uF,,,C300,,,1786,,,
116,1,1n,,,C301,,,1857,,,
117,1,6.8u,,,C302,,,1762,,,
118,1,1nF,,,C303,,,1795,,,
119,1,1n,,,C304,,,1759,,,
120,1,0.1uF,,,C305,,,1801,,,
121,1,0.1uF,,,C306,,,1844,,,
122,1,1n,,,C307,,,1753,,,
123,1,1nF,,,C308,,,1765,,,
124,1,6.8uF,,,C309,,,1750,,,
125,1,0.1uF,,,C310,,,1826,,,
126,1,1n,,,C311,,,1774,,,
127,1,1n,,,C312,,,1717,,,
128,1,0.1uF,,,C313,,,1814,,,
129,1,1n,,,C314,,,1847,,,
130,1,1nF,,,C315,,,2299,,,
131,1,C3216X5R2J102M115AA,"MULTILAYER CERAMIC CHIP CAPACITORS, 3216, Commercial grade, general (Up to 75V)",(1nF)C3216X5R2J102M115AA,C315(1NF),TDK,C3216X5R2J102M115AA,2291,,,
132,1,C3216X5R2J102M115AA,"MULTILAYER CERAMIC CHIP CAPACITORS, 3216, Commercial grade, general (Up to 75V)",(1nF)C3216X5R2J102M115AA,C315(1NF)1,TDK,C3216X5R2J102M115AA,2294,,,
133,1,1nF,,,C316,,,2305,,,
134,1,OPA855IDSGR,"High Speed Operational Amplifiers 8 GHz Gain Bandwidth Product, Decompensated Transimpedance Amplifier with Bipolar Input 8-WSON -40 to 125",OPA855IDSGR,IC1,Texas Instruments,OPA855IDSGR,2012,,,
135,1,OPA277U_2K5,High Precision Operational Amplifiers,OPA277U/2K5,IC2,Texas Instruments,OPA277U/2K5,2060,,,
136,1,OPA277U_2K5,High Precision Operational Amplifiers,OPA277U/2K5,IC3,Texas Instruments,OPA277U/2K5,2263,,,
137,1,OPA277U_2K5,High Precision Operational Amplifiers,OPA277U/2K5,IC4,Texas Instruments,OPA277U/2K5,2272,,,
138,1,OPA855IDSGR,"High Speed Operational Amplifiers 8 GHz Gain Bandwidth Product, Decompensated Transimpedance Amplifier with Bipolar Input 8-WSON -40 to 125",,IC9,,,436,,,
139,1,LM2940T-5.0_NOPB,"Texas Instruments LM2940T-5.0/NOPB, LDO Voltage Regulator, 1A, 5 V, 6.25  26 Vin 3-Pin, TO-220",LM2940T-5.0/NOPB,IC11,Texas Instruments,LM2940T-5.0/NOPB,1903,,,
140,1,LM2990T-5.0_NOPB,"Texas Instruments LM2990T-5.0/NOPB, LDO Voltage Regulator, 1A, -5 V +/-5%, -26  0.3 Vin, 3-Pin TO-220",LM2990T-5.0/NOPB,IC12,Texas Instruments,LM2990T-5.0/NOPB,1899,,,
141,1,OPA695IDBVR,"Ultra-Wideband, Current-Feedback Operational Amplifier with Disable",OPA695IDBVR,IC13,Texas Instruments,OPA695IDBVR,2118,,,
142,1,TLV3604DCKR,800-ps high-speed rail-rail input comparator with LVDS outputs,TLV3604DCKR,IC14,Texas Instruments,TLV3604DCKR,2176,,,
143,1,TLV3604DCKR,800-ps high-speed rail-rail input comparator with LVDS outputs,TLV3604DCKR,IC15,Texas Instruments,TLV3604DCKR,2157,,,
144,1,TSW-110-07-G-D,"20 Position, Classic PCB Header Strips, 0.100&quot; pitch",TSW-110-07-G-D,J1,SAMTEC,TSW-110-07-G-D,770,,,
145,1,4 HEADER,,,J2,,,1913,,,
146,1,TSW-110-07-G-D,"20 Position, Classic PCB Header Strips, 0.100&quot; pitch",TSW-110-07-G-D,J3,SAMTEC,TSW-110-07-G-D,1984,,,
147,1,4 HEADER,,,JP1,,,9,,,
148,1,R12-150B,"Recom 5W Isolated DC-DC Converter, Vin 10  14 V dc, Vout 95  210V dc, I/O isolation 3000V dc",R12-150B,PS1,,,1930,,,
149,1,TNPW0603200KBEEA,Vishay TNPW Series Thin Film Surface Mount Resistor 0603 Case 200k +/-0.1% 0.1W +/-25ppm/K,TNPW0603200KBEEA,R4(200K),Vishay,TNPW0603200KBEEA,2043,,,
150,1,CRCW201010R0JNEFIF,"10 Ohms +/-5% 0.75W, 3/4W Chip Resistor 2010 (5025 Metric) Automotive AEC-Q200, Pulse Withstanding Thick Film",CRCW201010R0JNEFIF,R6(10OHM)1,Vishay,CRCW201010R0JNEFIF,1907,,,
151,1,CRCW201010R0JNEFIF,"10 Ohms +/-5% 0.75W, 3/4W Chip Resistor 2010 (5025 Metric) Automotive AEC-Q200, Pulse Withstanding Thick Film",CRCW201010R0JNEFIF,R6(10OHM)2,Vishay,CRCW201010R0JNEFIF,2025,,,
152,1,CRCW201010R0JNEFIF,"10 Ohms +/-5% 0.75W, 3/4W Chip Resistor 2010 (5025 Metric) Automotive AEC-Q200, Pulse Withstanding Thick Film",CRCW201010R0JNEFIF,R6(10OHM),Vishay,CRCW201010R0JNEFIF,1896,,,
153,1,CRCW0402200RFKEDHP,Thick Film Resistors - SMD 0.2W 200ohms 1% High Power AEC-Q200,CRCW0402200RFKEDHP,R8(200OHM)1,Vishay,CRCW0402200RFKEDHP,2078,,,
154,1,CRCW0402200RFKEDHP,Thick Film Resistors - SMD 0.2W 200ohms 1% High Power AEC-Q200,CRCW0402200RFKEDHP,R8(200OHM),Vishay,CRCW0402200RFKEDHP,2075,,,
155,1,ERJUP6D1300V,"Anti-Sulfurated Thick Film Chip Resistors/ Anti-Surge Type, Power Rating (W): 0.5, Chip Size (LxW(EIA)) (mm): 2.0 x 1.25 (EIA:0805), Resistance Values (?): 130, Resistance Tolerance (%): 0.5, T.C.R (10??/K): +/-100",ERJUP6D1300V,R9(130OHM),Panasonic,ERJUP6D1300V,2084,,,
156,1,KTR03EZPF3600,Thick Film Resistors - SMD 0603 360ohm 1% High Voltage,KTR03EZPF3600,R9(360OHM),ROHM Semiconductor,KTR03EZPF3600,2137,,,
157,1,CRCW120620R0FKEAHP,Vishay CRCW Series Thick Film High Power Surface Mount Resistor 1206 Case 20 +/-1% 0.5W +/-100ppm/K,CRCW120620R0FKEAHP,R10(20OHM),Vishay,CRCW120620R0FKEAHP,2103,,,
158,1,MCA12060D5000BP500,"500 Ohms +/-0.1% 0.25W, 1/4W Chip Resistor 1206 (3216 Metric) Anti-Sulfur Thin Film",MCA12060D5000BP500,R11(500OHM),Vishay,MCA12060D5000BP500,2031,,,
159,1,MCA12060D5000BP500,"500 Ohms +/-0.1% 0.25W, 1/4W Chip Resistor 1206 (3216 Metric) Anti-Sulfur Thin Film",MCA12060D5000BP500,R11(500OHM)1,Vishay,MCA12060D5000BP500,2109,,,
160,1,WSC251527R00FEA,Wirewound Resistors - SMD 1watt 27ohms 1%,WSC251527R00FEA,R12(27OHM),Vishay,WSC251527R00FEA,2097,,,
161,1,CRCW0402200RFKEDHP,Thick Film Resistors - SMD 0.2W 200ohms 1% High Power AEC-Q200,CRCW0402200RFKEDHP,R15(200OHM),Vishay,CRCW0402200RFKEDHP,2246,,,
162,1,RC0603JR-070RL,"Yageo 0, 0603 (1608M) Thick Film SMD Resistor - RC0603JR-070RL",RC0603JR-070RL,R17(0OHM),YAGEO,RC0603JR-070RL,2195,,,
163,1,ERJ-1GJF1000C,"Series/Type: Precision Thick Film Chip Resistors, Power Rating (W): 0.05, Chip Size (LxW(EIA)) (mm): 0.6 x 0.3 (EIA:0201), Resistance Values (): 100, Resistance Tolerance (%): 1, T.C.R (10/K): +/-200",ERJ-1GJF1000C,R18(100OHM),Panasonic,ERJ-1GJF1000C,2183,,,
164,1,RC0603JR-070RL,"Yageo 0, 0603 (1608M) Thick Film SMD Resistor - RC0603JR-070RL",RC0603JR-070RL,R19(0OHM),YAGEO,RC0603JR-070RL,2167,,,
165,1,CRCW0402200RFKEDHP,Thick Film Resistors - SMD 0.2W 200ohms 1% High Power AEC-Q200,CRCW0402200RFKEDHP,R21(200OHM),Vishay,CRCW0402200RFKEDHP,2243,,,
166,1,P0603E50R0BBT,Thin Film Resistors - SMD .125watts 50ohms .1% 25ppm,P0603E50R0BBT,R23(50OHM),Vishay,P0603E50R0BBT,2192,,,
167,1,RC0603JR-070RL,"Yageo 0, 0603 (1608M) Thick Film SMD Resistor - RC0603JR-070RL",RC0603JR-070RL,R24(0OHM),YAGEO,RC0603JR-070RL,2170,,,
168,1,ERJ-1GJF1000C,"Series/Type: Precision Thick Film Chip Resistors, Power Rating (W): 0.05, Chip Size (LxW(EIA)) (mm): 0.6 x 0.3 (EIA:0201), Resistance Values (): 100, Resistance Tolerance (%): 1, T.C.R (10/K): +/-200",ERJ-1GJF1000C,R25(100OHM)1,Panasonic,ERJ-1GJF1000C,2164,,,
169,1,RC0603JR-070RL,"Yageo 0, 0603 (1608M) Thick Film SMD Resistor - RC0603JR-070RL",RC0603JR-070RL,R26(0OHM),YAGEO,RC0603JR-070RL,2173,,,
170,1,200,,,R60,,,104,,,
171,1,20 k,,,R61,,,163,,,
172,1,100,,,R62,,,160,,,
173,1,200,,,R63,,,201,,,
174,1,200k,,,R73,,,424,,,
175,1,500,,,R74,,,449,,,
176,1,200,,,R77,,,430,,,
177,1,20 k,,,R78,,,417,,,
178,1,130,,,R80,,,528,,,
179,1,500,,,R114,,,586,,,
180,1,360,,,R117,,,607,,,
181,1,27,,,R122,,,662,,,
182,1,50,,,R123,,,676,,,
183,1,100,,,R126,,,748,,,
184,1,200,,,R127,,,727,,,
185,1,20k,,,R128,,,689,,,
186,1,200,,,R129,,,745,,,
187,1,5k,,,R136,,,996,,,
188,1,10,,,R137,,,1007,,,
189,1,10,,,R138,,,1015,,,
190,1,0,,,R139,,,1029,,,
191,1,0,,,R140,,,1034,,,
192,1,0,,,R141,,,1039,,,
193,1,0,,,R142,,,1042,,,
194,1,20,,,R144,,,1057,,,
195,1,10,,,R145,,,1069,,,
196,1,2k,,,R147,,,1434,,,
197,1,200,,,R148,,,1571,,,
198,1,130,,,R149,,,1443,,,
199,1,18k,,,R150,,,1467,,,
200,1,500,,,R151,,,1568,,,
201,1,21.34G,,,R159,,,1544,,,
202,1,360,,,R160,,,1550,,,
203,1,500,,,R161,,,1541,,,
204,1,27,,,R162,,,1428,,,
205,1,20,,,R163,,,1511,,,
206,1,200,,,R165,,,1473,,,
207,1,9.9k,,,R166,,,1437,,,
208,1,200,,,R167,,,1431,,,
209,1,100,,,R168,,,1501,,,
210,1,ERJUP6D1300V,"Anti-Sulfurated Thick Film Chip Resistors/ Anti-Surge Type, Power Rating (W): 0.5, Chip Size (LxW(EIA)) (mm): 2.0 x 1.25 (EIA:0805), Resistance Values (?): 130, Resistance Tolerance (%): 0.5, T.C.R (10??/K): +/-100",(130ohm)ERJUP6D1300V,R168(130OHM),,,2231,,,
211,1,130,,,R169,,,1440,,,
212,1,ERJUP6D1300V,"Anti-Sulfurated Thick Film Chip Resistors/ Anti-Surge Type, Power Rating (W): 0.5, Chip Size (LxW(EIA)) (mm): 2.0 x 1.25 (EIA:0805), Resistance Values (?): 130, Resistance Tolerance (%): 0.5, T.C.R (10??/K): +/-100",(130ohm)ERJUP6D1300V,R169(130OHM),,,2213,,,
213,1,10.1k,,,R170,,,1514,,,
214,1,9.9k,,,R171,,,1660,,,
215,1,200,,,R172,,,1676,,,
216,1,100,,,R173,,,1636,,,
217,1,130,,,R174,,,1645,,,
218,1,10.1k,,,R175,,,1648,,,
219,1,21.34G,,,R176,,,1804,,,
220,1,500,,,R177,,,1832,,,
221,1,360,,,R178,,,1726,,,
222,1,500,,,R179,,,1768,,,
223,1,2k,,,R180,,,1811,,,
224,1,200,,,R181,,,1738,,,
225,1,27,,,R182,,,1741,,,
226,1,20,,,R183,,,1860,,,
227,1,130,,,R184,,,1808,,,
228,1,18k,,,R186,,,1705,,,
229,1,9.9k,,,R187,,,1711,,,
230,1,200,,,R188,,,1714,,,
231,1,200,,,R189,,,1723,,,
232,1,100,,,R190,,,1771,,,
233,1,130,,,R191,,,1744,,,
234,1,10.1k,,,R192,,,1777,,,
235,1,200,,,R193,,,2302,,,
236,1,10,,,R194,,,2308,,,
237,1,10,,,R195,,,2312,,,
238,1,50,,,R196,,,2321,,,
239,1,RG11/U,,,T1(TRIGGER),,,1687,,,
240,1,3224W-1-203E,"20k, SMD Trimmer Potentiometer 0.25W Top Adjust Bourns, 3224",3224W-1-203E,TRIMREGISTERR7(20KOHM),Bourns,3224W-1-203E,2056,,,
241,1,3224W-1-203E,"20k, SMD Trimmer Potentiometer 0.25W Top Adjust Bourns, 3224",3224W-1-203E,TRIMREGISTERR14(20KOHM),Bourns,3224W-1-203E,2249,,,
242,1,3224W-1-203E,"20k, SMD Trimmer Potentiometer 0.25W Top Adjust Bourns, 3224",3224W-1-203E,TRIMREGISTERR20(20KOHM),Bourns,3224W-1-203E,2256,,,
243,1,LM2940,,,U1,,,24,,,
244,1,LM2990,,,U3,,,14,,,
245,1,OPA277,,,U15,,,131,,,
246,1,TLV3604,,,U16,,,146,,,
247,1,OPA277,,,U45,,,474,,,
248,1,SMA_CON,,,U63,,,668,,,
249,1,OPA695,,,U70,,,598,,,
250,1,TLV3604,,,U72,,,711,,,
251,1,OPA277,,,U73,,,733,,,
252,1,R12_150B,,,U74,,,981,,,
253,1,MTAPD-06-013,SENSOR PHOTODIODE 905NM TO46-2,MTAPD-06-013,U75,Marktech Optoelectronics,MTAPD-06-013,1073,,,
254,1,OPA855,,,U76,,,1504,,,
